Num	Domain	Name_to_Use	InEukProtV3	InTCS	EukProt_ID	UniProt_Proteome_ID	UP_RefProt	Actions_Needed	Changes_Vs_EukProtV3	Filtering_Applied	NumProts_PreFilt	NumProts_PostFilt	PropProts_Retained	Genus_UniEuk	Epithet_UniEuk	Supergroup_UniEuk	Taxogroup1_UniEuk	Taxogroup2_UniEuk	Actions_Prior_to_Use_EukProt	Data_Source_Type_EukProt	Taxonomy_UniEuk	Data_Source_URL	Original_Filename	New_Data_Citation	TaxSpecific_Busco_Complete	TaxSpecific_Busco_Single	TaxSpecific_Busco_Duplicated	TaxSpecific_Busco_Fragmented	TaxSpecific_Busco_Missing	Euk_Busco_Complete	Euk_Busco_Single	Euk_Busco_Duplicated	Euk_Busco_Fragmented	Euk_Busco_Missing																
1	Eukaryota	Toxoplasma_gondii	TRUE	TRUE	EP00379	UP000002226	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome; Different strain used for UniProt Reference proteome as compared to EukProt	Remove prots < 20 AA;None	8404	8404	1	Toxoplasma	gondii	Alveolata	Apicomplexa	coccidiomorphea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;'coccidiomorphea';'coccidians';Eimeriorina;Sarcocystidae;Toxoplasma;Toxoplasma gondii;strain ATCC 50861 / VEG	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002226/UP000002226_432359.fasta.gz	Toxoplasma_gondii_UniProtRefProteome.fasta																											
2	Eukaryota	Plasmodium_falciparum	TRUE	TRUE	EP00365	UP000001450	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	5372	5372	1	Plasmodium	falciparum	Alveolata	Apicomplexa	coccidiomorphea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;'coccidiomorphea';'hematozoans';'HP clade';Haemospororida;Plasmodium;Plasmodium falciparum;strain 3D7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001450/UP000001450_36329.fasta.gz	Plasmodium_falciparum_UniProtRefProteome.fasta																											
3	Eukaryota	Theileria_parva	TRUE	TRUE	EP00375	UP000001949	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	2790	2789	0.999641577	Theileria	parva	Alveolata	Apicomplexa	coccidiomorphea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;'coccidiomorphea';'hematozoans';'HP clade';Piroplasmorida;Theileriidae;Theileria;Theileria parva;strain Muguga	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001949/UP000001949_5875.fasta.gz	Theileria_parva_UniProtRefProteome.fasta																											
4	Eukaryota	Plasmodium_berghei	TRUE	FALSE	EP00821	UP000074855	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	4927	4927	1	Plasmodium	berghei	Alveolata	Apicomplexa	coccidiomorphea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;'coccidiomorphea';'hematozoans';'HP clade';Haemospororida;Plasmodium;Plasmodium berghei;strain ANKA	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000074855/UP000074855_5823.fasta.gz	Plasmodium_berghei_UniProtRefProteome.fasta																											
5	Eukaryota	Cryptosporidium_muris	TRUE	TRUE	EP00384	UP000001460	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;	3930	3930	1	Cryptosporidium	muris	Alveolata	Apicomplexa	Cryptosporidium	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;Cryptosporidium;Cryptosporidium muris;strain RN66	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001460/UP000001460_441375.fasta.gz	Cryptosporidium_muris_UniProtRefProteome.fasta																											
6	Eukaryota	Cryptosporidium_parvum	TRUE	TRUE	EP00989	UP000006726	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;	3805	3805	1	Cryptosporidium	parvum	Alveolata	Apicomplexa	Cryptosporidium	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;Cryptosporidium;Cryptosporidium parvum;strain IOWA-ATCC	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006726/UP000006726_353152.fasta.gz	Cryptosporidium_parvum_UniProtRefProteome.fasta																											
7	Eukaryota	Gregarina_niphandrodes	TRUE	TRUE	EP00381	UP000019763	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	6341	6341	1	Gregarina	niphandrodes	Alveolata	Apicomplexa	gregarinomorphea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Myzozoa;'AC clade';Apicomplexa;'gregarinomorphea';Gregarinoidea;'Clopton clade VI';'Gniph complex';Gregarina niphandrodes	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000019763/UP000019763_110365.fasta.gz	Gregarina_niphandrodes_UniProtRefProteome.fasta																											
8	Eukaryota	Platyophrya_macrostoma	TRUE	FALSE	EP00331	NA	NA	BUSCO	None	Remove prots < 20 AA;Extract longest isoform;CD-HIT 0.90	35773	25820	0.721773405	Platyophrya	macrostoma	Alveolata	Ciliophora	Colpodea	none	transcriptome	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';Colpodea;Platyophryida;'platyophryids';'WH lineage';Platyophrya macrostoma;strain WH	https://doi.org/10.6084/m9.figshare.12410606	EP00331_Platyophrya_macrostoma.fasta																											
9	Eukaryota	Stentor_coeruleus	FALSE	FALSE	NA	UP000187209	TRUE	"Download UniProt reference proteome, BUSCO"	Not in EukProt; UniProt reference proteome; Different isolate used for UniProt reference proteome vs EukProt	Remove prots < 20 AA;None	30969	30969	1	Stentor	coeruleus	Alveolata	Ciliophora	Heterotrichea	NA	NA	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 10-Machern	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000187209/UP000187209_5963.fasta.gz	Stentor_coeruleus_UniProtRefProteome.fasta																											
10	Eukaryota	Tetrahymena_thermophila	TRUE	TRUE	EP00333	UP000009168	TRUE	"Download UniProt reference proteome, BUSCO"	UniProt reference proteome	Remove prots < 20 AA;None	26971	26971	1	Tetrahymena	thermophila	Alveolata	Ciliophora	Oligohymenophorea	none	genome	Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'OP clade';Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymena;Tetrahymena thermophila;strain SB210	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000009168/UP000009168_312017.fasta.gz	Tetrahymena_thermophila_UniProtRefProteome.fasta																											
